Comic series,Creator(s),Publisher,number_volume,Serialized,Approximate sales,sales_number,countries,start_year
One Piece,Eiichiro Oda,Shueisha,104,Weekly Shōnen Jump1997 – present,516.5 million†[2][b],516,Japan,1997
Asterix,René GoscinnyAlbert Uderzo,Dargaud  Les Éditions Albert René,39,1959 – present[c],385 million[3][e],385,France,1959
Peanuts,Charles M. Schulz,—,0,1950 – 2000,300 million[4],300,U.S.,1950
Golgo 13,Takao Saito,Shogakukan,203,Big Comic1968 – present,300 million†[5],300,Japan,1968
Lucky Luke,Morris,Dupuis  Dargaud  Lucky Comics,82,1946 – present,300 million[6],300,Belgium,1946
Doraemon,Fujiko Fujio,Shogakukan,45,1969 – 1996,300 million[7],300,Japan,1969
Dragon & Tiger Heroes (Oriental Heroes),"Wong Yuk-Long, Tony",Culturecom,2427,1969–present,280 million[8][9],280,China,1969
Dragon Ball,Akira Toriyama,Shueisha,42,Weekly Shōnen Jump1984–1995,260 million[10][f][g],260,Japan,1984
The Adventures of Tintin,Hergé,CastermanLe LombardEgmont Group,24,1929 – 1976,250 million[23],250,Belgium,1929
Naruto,Masashi Kishimoto,Shueisha,72,Weekly Shōnen Jump1999 – 2014,250 million[24][h],250,Japan,1999
Case Closed,Gosho Aoyama,Shogakukan,100,Weekly Shōnen Sunday1994 – present,250 million[25][j],250,Japan,1994
Spike and Suzy,Willy Vandersteen,Standaard Uitgeverij,365,1945 – present,230 million[26],230,Belgium,1945
Black Jack,Osamu Tezuka,Akita Shoten,25,1973–1983,176 million[27],176,Japan,1973
Slam Dunk,Takehiko Inoue,Shueisha,31,Weekly Shōnen Jump1990 – 1996,170 million[28][k],170,Japan,1990
KochiKame: Tokyo Beat Cops,Osamu Akimoto,Shueisha,200,Weekly Shōnen Jump1976 – 2016,156.5 million[29][l],156,Japan,1976
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotōge,Shueisha,23,Weekly Shōnen Jump2016–2020,150 million[30],150,Japan,2016
Diabolik,Angela GiussaniLuciana Giussani,Astorina,862,1962 – present,150 million[31],150,Italy,1962
Crayon Shin-chan,Yoshito Usui,Futabasha,67,1990–present,148 million[m][32],148,Japan,1990
Garfield,Jim Davis,—,0,1978 – present,135 million[33],135,U.S.,1978
Oishinbo,Tetsu Kariya  Akira Hanasaki,Shogakukan,111,Big Comic Spirits1983 – present,135 million[34],135,Japan,1983
Bleach,Tite Kubo,Shueisha,74,Weekly Shōnen Jump2001–2016,120 million[35][n],120,Japan,2001
JoJo's Bizarre Adventure,Hirohiko Araki,Shueisha,131,1987–present,120 million†[36][o],120,Japan,1987
Attack on Titan,Hajime Isayama,Kodansha,34,Bessatsu Shōnen Magazine 2009 – 2021,110 million[37],110,Japan,2009
Amar Chitra Katha,,Amar Chitra Katha Pvt. Ltd.,449,1967 – present,100 million[38],100,Indian,1967
Astro Boy,Osamu Tezuka,Kobunsha,23,Shōnen1952 – 1968,100 million[39],100,Japan,1952
Casper the Friendly Ghost,Seymour Reit and Joe Oriolo,Harvey Comics,0,1949 – present,100 million[40],100,U.S.,1949
Fist of the North Star,Buronson and Tetsuo Hara,Shueisha,27,Weekly Shōnen Jump1983 – 1988,100 million[41][p],100,Japan,1983
The Kindaichi Case Files,"Yōzaburō Kanari, Seimaru Amagi, Fumiya Satō",Kodansha,86,1992–present,100 million†[42],100,Japan,1992
Touch,Mitsuru Adachi,Shogakukan,26,Weekly Shōnen Sunday1981 – 1986,100 million[43],100,Japan,1981
Superman,Jerry Siegel Joe Shuster,DC Comics,15000,1938 – present,600 million[46][q],600,U.S.,1938
Batman,Bob KaneBill Finger,DC Comics,17000,1939 – present,484 million[r][q],484,U.S.,1939
Spider-Man,Stan LeeSteve Ditko,Marvel,13500,1963 – present,387 million[s][q],387,U.S.,1963
X-Men,Stan LeeJack Kirby,Marvel,12000,1963 – present,260 million[57][q],260,U.S.,1963
Captain America,Joe SimonJack Kirby,Marvel,9000,1941 – present,210 million[57],210,U.S.,1941
Spawn,Todd McFarlane,Image Comics,600,1992 – present,150 million[60],150,U.S.,1992
The Phantom,Lee Falk,Frew Publications,3000,1936 – present,150 million[57],150,U.S.,1936